doc_index,topic_id,norm_topic_weight,yr_mnth
0,5,0.6704004,2018-04
1,6,0.9959267,2018-07
2,4,0.46307322,2018-07
3,1,0.75339,2018-06
4,6,0.98124653,2016-12
5,6,0.9951602,2016-12
6,6,0.9946098,2016-11
7,6,0.7809401,2016-11
8,6,0.4771769,2016-11
9,6,0.97692055,2016-11
10,6,0.57022566,2016-11
11,6,0.52127963,2016-11
12,6,0.81402034,2016-11
13,0,0.8031662,2016-11
14,6,0.6822067,2018-06
15,6,0.9842082,2016-11
16,7,0.5516686,2016-11
17,9,0.7566463,2016-11
18,6,0.9107204,2016-11
19,4,0.3531217,2016-11
20,6,0.75164896,2016-11
21,5,0.3887088,2016-11
22,6,0.9539899,2016-11
23,6,0.47502607,2016-11
24,9,0.5068256,2018-06
25,6,0.4495434,2016-11
26,9,0.58682376,2016-11
27,6,0.7281464,2016-11
28,6,0.33089548,2016-11
29,6,0.9938342,2016-11
30,6,0.94062763,2016-11
31,6,0.9804297,2016-11
32,9,0.8983985,2016-11
33,6,0.6150857,2016-11
34,6,0.7433099,2018-06
35,6,0.75192827,2016-11
36,6,0.5990375,2016-11
37,6,0.88259786,2016-11
38,7,0.43502048,2016-11
39,9,0.55574256,2016-11
40,1,0.771038,2016-11
41,6,0.8437817,2016-11
42,6,0.8966695,2016-11
43,6,0.91722476,2018-06
44,6,0.79931456,2016-11
45,6,0.8499993,2016-11
46,9,0.993616,2016-11
47,6,0.5928533,2016-11
48,6,0.97362185,2016-11
49,6,0.78385913,2016-11
50,3,0.46173686,2016-11
51,1,0.50510395,2016-11
52,6,0.99467343,2018-06
53,6,0.723517,2016-11
54,6,0.6693572,2016-10
55,6,0.94972396,2016-10
56,6,0.8469853,2016-10
57,6,0.45788997,2016-10
58,6,0.68208873,2016-10
59,6,0.5657677,2018-06
60,6,0.39087662,2016-10
61,6,0.9598797,2016-10
62,6,0.6749667,2016-10
63,9,0.6000331,2016-10
64,8,0.47102815,2018-06
65,6,0.57734066,2016-10
66,6,0.5393672,2016-10
67,5,0.4236367,2016-10
68,6,0.5388837,2016-10
69,3,0.38519183,2016-10
70,6,0.7010215,2016-10
71,8,0.5664625,2018-06
72,6,0.5381607,2016-10
73,9,0.7682379,2016-10
74,6,0.64229846,2016-10
75,2,0.3680555,2016-10
76,6,0.76407886,2016-10
77,8,0.48141035,2018-06
78,6,0.62559444,2016-09
79,6,0.86008525,2016-09
80,6,0.8368732,2016-09
81,6,0.66036224,2016-09
82,6,0.7703446,2016-09
83,6,0.81585324,2016-09
84,6,0.9897711,2016-08
85,4,0.53929126,2016-08
86,6,0.9660381,2018-07
87,6,0.9720416,2018-06
88,6,0.67212623,2016-08
89,6,0.49548557,2016-08
90,6,0.5785579,2016-08
91,9,0.99062264,2016-07
92,4,0.3570103,2016-07
93,6,0.8704755,2016-07
94,6,0.50494117,2016-07
95,6,0.80383706,2016-07
96,9,0.5339392,2016-07
97,6,0.5007698,2018-06
98,6,0.7392984,2016-07
99,6,0.41477996,2016-07
100,6,0.3995964,2016-07
101,1,0.57802635,2016-07
102,6,0.9959267,2016-07
103,4,0.6428288,2016-06
104,7,0.7569258,2016-06
105,6,0.54060465,2016-06
106,6,0.43494087,2018-06
107,8,0.3007881,2016-06
108,6,0.9364296,2016-06
109,6,0.88161296,2016-06
110,6,0.9958895,2016-06
111,6,0.50908875,2016-06
112,1,0.43848473,2016-06
113,6,0.62322474,2016-06
114,6,0.8817898,2016-06
115,3,0.5069246,2018-06
116,6,0.44467622,2016-05
117,6,0.91191113,2018-06
118,6,0.69074935,2016-05
119,6,0.8217113,2016-05
120,6,0.7842667,2016-05
121,3,0.4584031,2016-05
122,4,0.40105382,2016-05
123,6,0.7830111,2018-06
124,6,0.7621556,2016-05
125,4,0.459853,2016-05
126,0,0.478934,2016-05
127,3,0.53501517,2016-05
128,6,0.47212666,2016-05
129,3,0.639174,2016-05
130,6,0.343863,2016-05
131,6,0.52780235,2016-05
132,3,0.24484622,2016-05
133,9,0.3718612,2018-06
134,6,0.8645572,2016-05
135,4,0.5137712,2016-05
136,6,0.48864946,2016-05
137,6,0.5353236,2016-04
138,6,0.7595874,2016-04
139,6,0.7733019,2016-04
140,6,0.6477476,2016-04
141,6,0.6525868,2016-04
142,6,0.741729,2016-04
143,6,0.70814484,2016-04
144,6,0.75271344,2016-04
145,6,0.9333316,2016-04
146,6,0.9449428,2016-04
147,6,0.83109015,2016-04
148,6,0.851194,2016-04
149,6,0.66151214,2016-04
150,6,0.43603697,2018-06
151,6,0.6994305,2016-04
152,6,0.6854323,2016-04
153,8,0.29678634,2016-04
154,6,0.6842048,2016-04
155,6,0.8903669,2016-04
156,6,0.613029,2016-04
157,6,0.4931283,2016-04
158,5,0.6083138,2016-04
159,6,0.824805,2016-04
160,6,0.7252923,2016-04
161,5,0.4501601,2018-05
162,6,0.84899807,2016-04
163,6,0.55232525,2016-04
164,7,0.5847543,2016-04
165,6,0.5326118,2016-04
166,6,0.5008769,2016-04
167,6,0.9487931,2016-04
168,6,0.6454701,2016-03
169,6,0.8611336,2018-07
170,6,0.69244426,2018-05
171,6,0.7691364,2016-03
172,6,0.8329432,2016-03
173,6,0.8341715,2016-03
174,6,0.6707428,2016-03
175,6,0.5955474,2016-03
176,6,0.43722525,2016-03
177,6,0.5307873,2016-03
178,6,0.6478483,2018-05
179,6,0.8144467,2016-02
180,6,0.99158704,2016-02
181,6,0.94464004,2016-02
182,6,0.7937113,2016-02
183,6,0.73636144,2016-02
184,6,0.49827024,2016-02
185,6,0.6849479,2016-02
186,6,0.6776653,2016-02
